Fide id,Name,Year_of_birth,Gender,Federation,Title,Standard_Rating,Rapid_rating,Blitz_rating
25099450,Chopdekar Gunjal,2005,F,IND,WCM,1590,1499,1500
5001838,Bindu  Saritha K.,1966,F,IND,WFM,1580,0,0
25063561,Wankhade Sanskruti,2006,F,IND,WCM,1576,1301,1349
25099477,Fernandes Krystal,2003,F,IND,WCM,1542,1499,1504
10800859,Iyengar  Sharanya,2002,F,IND,WCM,1523,1496,0
45015961,Suhaani Lohia,2009,F,IND,WCM,1477,1123,1114
35028421,Prathivya Gupta,2007,F,IND,WCM,1439,0,0
25073281,Shreya Smruti Mohanty,2003,F,IND,WCM,1432,0,0
35061780,Kriti Mayur Patel,2006,F,IND,WCM,1394,1293,1212
45073503,Kiaan Agrawal,2010,M,IND,CM,1323,1290,1336
46648992,Shefali A N,2009,F,IND,WCM,1322,1118,1222
25690710,Shriyana S Mallya,2010,F,IND,WCM,1277,1104,1152
45059489,Vyas Arya Ajay,2006,F,IND,WCM,1201,1246,1288
